Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
57,FRU13,430.325000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
58,FRU13H,430.325000,+,9.400000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
59,FRU14,430.350000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
60,FRU14H,430.350000,+,9.400000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
61,RU225,432.812500,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
62,RU226,432.825000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
63,FRU17,433.025000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
64,FRU18,433.050000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
65,FRU19,433.075000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
100,RVHF foi,145.787500,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
101,RUHF foi,430.250000,+,1.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
102,VHF neul,145.637500,-,0.606250,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
103,UHF Neul,430.050000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
104,RRF 09,145.287500,,0.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
105,RRF 66,145.362500,,0.000000,Tone,250.3,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
120,blagnac,118.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
121,toul app,120.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
122,blagnac,121.105000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
123,blagnac,121.705000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
124,st mart,121.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
125,blagnac,121.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
126,blag ATI,123.130000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
127,Tlse app,123.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
128,Tlse app,123.930000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
129,Tlse app,124.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
130,Tlse app,125.180000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
131,Tlse app,129.305000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
132,Perp. To,118.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
133,Perp. AT,127.880000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
134,Mont. Ap,130.855000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
135,Parp. so,121.780000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,2.0W,,,,,
137,FFVL vol,154.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
150,M 03 CRO,156.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
151,M 04 CRO,156.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
152,M 05 POR,156.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
