Fréq RX [MHz],Fréq TX [MHz],RX CTCSS/DCS,TX CTCSS/DCS,Puissance,Bande,Brouilleur,PTT ID,Saut Fréq,Verr Occupé,Scan,Mode RX,Nom
161.77500,161.77500,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA9
162.00000,162.00000,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA11
162.40000,162.40000,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA2
162.42500,162.42500,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA4
162.45000,162.45000,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA5
162.47500,162.47500,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA3
162.50000,162.50000,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA6
162.52500,162.52500,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA7
162.55000,162.55000,OFF,OFF,Haut,Large,0,Arrêt,ON,OFF,ON,FM,NOAA1
430.02500,431.62500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU01
430.05000,431.65000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU02
430.05000,431.65000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,UHF Neul
430.07500,431.67500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU03
430.10000,431.70000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU04
430.12500,431.72500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU05
430.15000,431.75000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU06
430.15000,439.55000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU06H
430.17500,431.77500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU07
