Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
44,M 09 CAP,156.45000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
45,M 69 MNA,156.47500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
46,M 10 SEM,156.50000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
47,M 11 MNA,156.55000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
48,M71 MNAT,156.57500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
49,M 12 POR,156.60000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
50,M 72 NAV,156.62500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
51,M 13 CRO,156.65000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
52,M 73 MNA,156.67500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
53,M 14 POR,156.70000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
54,M 74 MNA,156.72500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
55,M 15 PLA,156.75000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
56,M 16 urg,156.80000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
57,M 17 MNA,156.85000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
58,M 77 NAV,156.87500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
59,M20 cons,157.00000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,2.0W,,,,,
60,NOAA8,161.65000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
61,NOAA10,161.75000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
62,NOAA9,161.77500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
63,NOAA11,162.00000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
